,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145906_contig.fa,2606,,,,Agbeni
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145899_contig.fa,26,,,,Thompson
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145906_contig.fa,2606,,,,Agbeni
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145899_contig.fa,26,,,,Thompson
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145900_contig.fa,11,IncFIB(S),,,Enteritidis
1,./SRAtest/20200704/Assembled/SRR12145900_contig.fa,11,IncFII(S),,,
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12144670_contig.fa,34,IncQ1,tet(B),AMR,"I 1,4,[5],12:i:-"
1,./SRAtest/20200704/Assembled/SRR12144670_contig.fa,34,,aph(6)-Id,AMR,
2,./SRAtest/20200704/Assembled/SRR12144670_contig.fa,34,,aph(3'')-Ib,AMR,
3,./SRAtest/20200704/Assembled/SRR12144670_contig.fa,34,,sul2,AMR,
4,./SRAtest/20200704/Assembled/SRR12144670_contig.fa,34,,blaTEM-1,AMR,
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12144671_contig.fa,34,Col(BS512),tet(B),AMR,"I 1,4,[5],12:i:-"
1,./SRAtest/20200704/Assembled/SRR12144671_contig.fa,34,ColRNAI,aph(6)-Id,AMR,
2,./SRAtest/20200704/Assembled/SRR12144671_contig.fa,34,IncQ1,aph(3'')-Ib,AMR,
3,./SRAtest/20200704/Assembled/SRR12144671_contig.fa,34,,sul2,AMR,
4,./SRAtest/20200704/Assembled/SRR12144671_contig.fa,34,,blaTEM-1,AMR,
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12144672_contig.fa,578,,,,Havana
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145896_contig.fa,11,IncFIB(S),,,Enteritidis
1,./SRAtest/20200704/Assembled/SRR12145896_contig.fa,11,IncFII(S),,,
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145902_contig.fa,19,IncFIB(S),,,Typhimurium
1,./SRAtest/20200704/Assembled/SRR12145902_contig.fa,19,IncFII(S),,,
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145525_contig.fa,3492,,,,Thompson
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145523_contig.fa,26,IncFII(p96A),,,Thompson
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145903_contig.fa,19,IncFIB(S),,,"I 1,4,[5],12:i:-"
1,./SRAtest/20200704/Assembled/SRR12145903_contig.fa,19,IncFII(S),,,
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145524_contig.fa,15,Col(pHAD28),fosA7,AMR,Heidelberg
1,./SRAtest/20200704/Assembled/SRR12145524_contig.fa,15,IncI1-I(Alpha),aadA1,AMR,
2,./SRAtest/20200704/Assembled/SRR12145524_contig.fa,15,,aac(3)-VIa,AMR,
3,./SRAtest/20200704/Assembled/SRR12145524_contig.fa,15,,qacEdelta1,BIOCIDE,
4,./SRAtest/20200704/Assembled/SRR12145524_contig.fa,15,,sul1,AMR,
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145777_contig.fa,34,IncQ1,tet(B),AMR,"I 1,4,[5],12:i:-"
1,./SRAtest/20200704/Assembled/SRR12145777_contig.fa,34,,sul2,AMR,
2,./SRAtest/20200704/Assembled/SRR12145777_contig.fa,34,,aph(3'')-Ib,AMR,
3,./SRAtest/20200704/Assembled/SRR12145777_contig.fa,34,,aph(6)-Id,AMR,
4,./SRAtest/20200704/Assembled/SRR12145777_contig.fa,34,,blaTEM-1,AMR,
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145901_contig.fa,2164,IncFII(p96A),,,Ealing
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12144673_contig.fa,45,,,,Newport
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145905_contig.fa,2119,IncFIB(S),,,Norwich
1,./SRAtest/20200704/Assembled/SRR12145905_contig.fa,2119,IncFII(S),,,
2,./SRAtest/20200704/Assembled/SRR12145905_contig.fa,2119,IncFII(pMET),,,
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145907_contig.fa,19,IncFIB(S),,,Typhimurium
1,./SRAtest/20200704/Assembled/SRR12145907_contig.fa,19,IncFII(S),,,
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12144674_contig.fa,536,,,,Pomona
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145781_contig.fa,13,,fosA7.2,AMR,Agona
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145779_contig.fa,22,,,,Braenderup
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145778_contig.fa,11,IncFIB(S),,,Enteritidis
1,./SRAtest/20200704/Assembled/SRR12145778_contig.fa,11,IncFII(S),,,
2,./SRAtest/20200704/Assembled/SRR12145778_contig.fa,11,IncX1,,,
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12144668_contig.fa,1368,,fosA7,AMR,Djelfa|Skansen|Korbol|Nagoya
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12144675_contig.fa,2040,,gyrA_S83Y,POINT,Indiana
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145898_contig.fa,404,Col(pHAD28),,,"I 1,4,[5],12:b:-"
1,./SRAtest/20200704/Assembled/SRR12145898_contig.fa,404,IncFII(p96A),,,
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145897_contig.fa,684,,,,Uganda
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12144669_contig.fa,306,ColpVC,sul1,AMR,Bredeney
1,./SRAtest/20200704/Assembled/SRR12144669_contig.fa,306,,qacEdelta1,BIOCIDE,
2,./SRAtest/20200704/Assembled/SRR12144669_contig.fa,306,,aadA5,AMR,
3,./SRAtest/20200704/Assembled/SRR12144669_contig.fa,306,,dfrA17,AMR,
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145782_contig.fa,118,IncFII(p96A),,,Newport
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145780_contig.fa,617,Col(pHAD28),qnrB19,AMR,Cotham
1,./SRAtest/20200704/Assembled/SRR12145780_contig.fa,617,Col440II,,,
2,./SRAtest/20200704/Assembled/SRR12145780_contig.fa,617,IncFII(Yp),,,
3,./SRAtest/20200704/Assembled/SRR12145780_contig.fa,617,IncFII(p96A),,,
,Accession,mlst,plasmidfinder,amr_gane,amr_subtype,sistr
0,./SRAtest/20200704/Assembled/SRR12145904_contig.fa,24,,,,Javiana
